sport,trait,direct_correlation,indirect_correlation,same_correlation
football,formal,-0.6870986430681153,0.02929746458974829,False
football,destructive,-1.1182712800932468,0.04458968980015482,False
football,sensitive,-0.8888179649905358,0.017009445172933617,False
football,demanding,-0.8677699064531862,-0.0963427347875195,True
football,courageous,-1.69765212013291,-0.0361553263706222,True
football,stern,-0.8297876029781367,0.039400093569173816,False
football,grim,-0.09094610454341971,0.09978253060132036,False
football,mellow,-0.6361633598301387,0.026893894968244594,False
football,dishonest,-0.8060825556490371,0.20222778168716318,False
football,petty,-0.3903996053774744,0.0997470795532453,False
football,complaining,-0.4653808021769079,0.01260581737840403,False
football,ambitious,-0.4817653879360863,-0.020636951078541053,True
football,determined,-0.5263591029893367,-0.07757524340414704,True
football,strong,-0.22509051888561182,-0.03751898901026947,True
football,understanding,-1.4188199084514566,0.10533481541115851,False
football,neutral,-0.876343208779834,-0.06623932581832888,True
football,attractive,0.06484459148028673,-0.2287235929616818,False
football,sober,-0.8015482219716235,0.07591516854102967,False
football,rigid,-0.5765726734051335,0.12514177654581912,False
football,unpredictable,-1.0920843663235742,-0.02536494404109757,True
football,preoccupied,0.3650586242623638,-0.06913832244068689,False
football,skinny,1.3056627508516656,-0.049871058053538996,False
football,fit,1.8605981721575517,-0.038851687534610976,False
football,arbitrary,-0.716751382685547,0.0801885610899347,False
football,erratic,-0.6357043915205413,0.05926506573602124,False
football,malicious,-1.5290328746110184,0.05059337913874856,False
football,dynamic,-0.85832410943857,-0.15421589370933647,True
football,invisible,-1.1099444444516595,0.04194822323961072,False
football,critical,-1.352840625099073,0.15768077613881631,False
football,confused,-0.701025696668425,0.04755795137018966,False
football,caring,-1.0459693450171443,-0.009744153200601867,True
football,challenging,-0.7001316062302455,0.04187556498094119,False
football,false,-1.6329864429154786,0.011597420157592972,False
football,fraudulent,-1.3329201169756026,0.037777809244706674,False
football,conciliatory,-1.1447530329219968,0.027070206712881628,False
football,crazy,-0.3158144969088365,-0.09891277154157792,True
football,sloppy,-0.2667976170169992,0.05040391146847951,False
football,disruptive,-0.6820134276142208,0.0712557677575864,False
football,busy,-0.24850631973456527,-0.11175784161156821,True
football,bland,-0.6650613402705824,-0.0661835048691853,True
football,frivolous,-0.6644269450454389,-0.17642135764256087,True
football,popular,0.6007772938286164,-0.048068807472898226,False
football,hurried,-0.5069142359615004,-0.03350917527779601,True
football,profound,-1.9020367917232543,0.09860602414459659,False
football,friendly,-0.1012871685792808,-0.005319159217918739,True
football,ignorant,-0.8698401307094842,0.1290078548702157,False
football,conventional,-0.15740288977031675,-0.04820210710154457,True
football,buff,0.697463837686387,0.10410066451050276,True
football,balanced,-0.42602996793801096,0.0028837389725335596,False
football,stupid,-0.034673950838553756,0.17165348930983293,False
football,desperate,-0.5852563690033594,-0.006515899710923167,True
football,gallant,-0.9157292906610305,0.02833033931125539,False
football,cruel,-0.8826257185430808,0.07927153906573277,False
football,political,0.6546331667677032,0.07625932400248975,True
football,secure,-1.5413251986386411,0.06950376659567707,False
football,passive,-0.4840759737375827,0.16870295333915747,False
football,subtle,-1.7149582241319208,0.040687295646046874,False
football,greedy,-0.9717813755793449,0.1055245541513942,False
football,sympathetic,-1.7350648474511825,0.030363471724648473,False
football,sensual,-1.0492937750909175,-0.24781097047879982,True
football,mechanical,-0.0962483718307325,0.18772616605790052,False
football,trendy,0.28785161835230383,-0.2794866832797319,False
football,gentle,-1.6075240348748874,0.027081868771205046,False
football,stubborn,-0.3080712621843443,0.013384033336093585,False
football,difficult,-0.8298708015391313,-0.07152432051306476,True
football,dramatic,-0.4850173392109036,-0.17396618775923084,True
football,angry,-0.29299445020835907,0.11680634222212864,False
football,weak,-0.9017763081648741,0.0520554376431014,False
football,patriotic,0.8544485277330207,0.024356506010095025,True
football,sporting,2.0229752012502455,-0.03391063028159417,False
football,clever,-1.3642248341719667,0.16738696404093398,False
football,quirky,-0.7069741309658071,-0.08825220938009343,True
football,calm,-0.5292489462240337,-0.05180569534175808,True
football,restrained,-1.400214724252071,0.24154165051038085,False
football,honest,-0.934084059667756,0.15308368443721035,False
football,genuine,-1.3018911798073416,0.07201623842449587,False
football,extravagant,-0.6857867803226847,-0.13123423030906334,True
football,treacherous,-0.5606172876591917,-0.15458328414796793,True
football,athletic,2.2360743413355744,-0.004179634165176341,False
football,innovative,-1.348575234489966,-0.07765144520834703,True
football,responsive,-1.5702931869992762,-0.029167230556792885,True
football,bizarre,-0.6205129669986582,0.0075836500085693,False
football,frightening,-0.8925988692749335,0.0006182147983287406,False
football,sophisticated,-0.6802894181586436,-0.1995713293190828,True
football,polished,-1.0823440230215404,-0.09752680472744968,True
football,glamorous,-0.2720746150070503,-0.30570027279132833,True
football,exciting,-0.5348189263495954,-0.11891615167265823,True
football,alert,-0.7874458676438589,0.015928735157861175,False
football,winning,-0.8744132980442471,0.11182686693574806,False
football,timid,-0.6436684821928628,-0.15633426932686403,True
football,tidy,-0.31025321224818936,-0.09682385637561232,True
football,religious,-0.30846414847464376,0.1485806257055269,False
football,dominating,0.16465980811657177,-0.12254506153779783,False
football,messy,-0.5922364423187555,-0.1263661038135492,True
football,mature,-0.2459400982343461,-0.0791376298102768,True
football,prim,0.01672318753925161,-0.2067833046592719,False
football,lazy,0.1695507611996663,0.0951955218774894,True
football,cerebral,-0.3740639985573374,0.061498019881204256,False
football,amusing,-0.7602746939737307,0.07511172032624193,False
football,appreciative,-1.7748937812670855,-0.010195456215327206,True
football,ridiculous,0.04010664933155033,-0.0739578759623903,False
football,aggressive,-0.002087904206520521,0.0800876069638365,False
football,precise,-1.1210674459169871,0.0008814588644151965,False
football,unhealthy,0.5475100464996683,-0.20638678832918925,False
football,cynical,-0.20424601171389803,0.17285678463174947,False
football,short,0.64521574128707,0.19792288853942575,True
football,helpful,-1.218580099912229,0.018904276049844647,False
football,thorough,-1.1231311578787706,0.07538770135575593,False
football,subjective,-0.5096784470024688,0.06200312470301312,False
football,original,-1.7606539569101691,0.15369189253560084,False
football,active,0.4024569574722347,-0.03758221724564476,False
football,steady,-0.9836599639130632,0.1387758736330228,False
football,independent,-0.981807654858445,-0.1360977595203052,True
football,soft,-0.823043074916013,-0.08999310578072109,True
football,experimental,-0.9259380825231619,0.006856260789317038,False
football,intense,-0.04025270915267114,0.05061218866889044,False
football,serious,-0.1727339123077055,0.14203142375603794,False
football,solid,-0.41407821453772253,0.09585813558444144,False
football,strict,-0.6186110066171844,0.12489607344150021,False
football,neat,-0.6987036410299521,0.04624586171995789,False
football,shallow,-0.28601952302356276,-0.03350009155510484,True
football,solemn,-1.1003583912932449,0.04677411640396274,False
football,retiring,-0.6121674273700195,0.0048189670747583666,False
football,generous,-1.2246773676084632,0.1330125832004514,False
football,negative,-0.2851689983239692,0.20838002250098303,False
football,fiery,-0.7575482100934181,-0.18536474431630964,True
football,meticulous,-1.0308934262940996,-0.044261861545502795,True
football,provocative,-0.8651640078954704,-0.1583335880508401,True
football,firm,-1.2618840182668078,0.08087107852216825,False
football,paranoid,-0.36664992630442,0.09830853197756162,False
football,slim,0.8353419026437071,-0.03958700265061649,False
football,clean,-0.8758241431800433,-0.05788298380013942,True
football,lyrical,-0.6826600923084422,-0.07610034285448876,True
football,respectful,-0.9278930687071502,0.09371391341156662,False
football,hostile,-0.6955865298796058,0.061382878019304296,False
football,dignified,-1.179758661286653,-0.07053020361807198,True
football,disturbing,-1.0635629624216782,0.022938178177137728,False
football,complex,-0.8773674265714981,0.025053177953619936,False
football,courteous,-0.8896312889623023,0.05529257362028699,False
football,tense,0.4888357312294366,-0.03778883548006322,False
football,heroic,-0.8315401883260813,0.13061893631494445,False
football,adventurous,-0.2964384628647087,-0.16823572961582828,True
football,leader,-0.6425148637580672,0.19396142786053971,False
football,unreliable,-0.6577712776278195,0.05930485239396905,False
football,brutal,-0.7702328305278408,0.08244060293515512,False
football,imaginative,-1.0090875464186153,-0.0004811515589957684,True
football,whimsical,-0.8372164182124253,-0.12170009403932824,True
football,extreme,-0.5716879910576231,0.08969671560617896,False
football,relaxed,0.04823048310189864,0.06755752196677266,True
football,dedicated,-1.150477721472786,-0.057049748761570054,True
football,emotional,-0.3398281177174043,-0.024036006249842007,True
football,fixed,-0.496438281916311,0.0825371701605603,False
football,curious,-1.171233562567458,0.01910136298940707,False
football,selfish,-0.4513777078124131,0.01533589574059444,False
football,sweet,-0.918121936183409,-0.17443006738527556,True
football,irrational,-0.7578794167545049,0.017170517918005848,False
football,suspicious,-0.8925768699525183,0.047677422978816865,False
football,cooperative,-1.2021580193498764,-0.1139865882779236,True
football,persuasive,-1.4414087964514402,0.12534464796530062,False
football,rustic,-0.38138679347672055,-0.1565624659912277,True
football,predatory,-0.8176817216994117,-0.11531925558313193,True
football,casual,0.06261216049347147,0.17389472677694126,True
football,bewildered,-1.178829560288698,0.03618817733190991,False
football,earnest,-1.2638731244162857,0.23298688204329523,False
football,contradictory,-0.671860870108761,0.05209546790552611,False
football,abrupt,-0.9625265716942627,0.09427277472284235,False
football,reserved,-0.8018829967843866,0.06507427235128382,False
football,knowledge,-1.304102273328136,0.18504792539331105,False
football,narrow,0.31249980599290483,0.11481158569074125,True
football,superficial,-0.7047390362621019,-0.03395693038189032,True
football,painstaking,-0.515647967302005,-0.13642341654608886,True
football,charming,-0.9093319695963272,-0.11723690459269191,True
football,capable,-1.1645028149955157,-0.04902012123851387,True
football,foolish,-1.1265168610290834,0.1674210443021415,False
football,slow,-0.16531309025866717,0.056964928571178824,False
football,impulsive,-0.9965133246872891,0.06329958956991164,False
football,stable,-0.8439425695025334,-0.05631845380273117,True
football,enigmatic,-1.3653439075383593,0.062051544987030804,False
football,overweight,2.427033526641607,-0.07581268740673122,False
football,patient,-1.704521059826315,0.01619853781037633,False
football,tiny,0.07351438621703338,-0.2539211090702363,False
football,hesitant,-0.7065966130050113,-0.032204558400819504,True
football,muscular,1.5965714716243011,0.11236124711599493,True
football,sexy,-0.18260703151243224,-0.2072059107791619,True
football,questioning,-1.1613287332074453,0.1042207441022774,False
football,scholarly,-1.076465632748538,0.10458478957214003,False
football,sentimental,-0.95573696796205,0.014264191589962503,False
football,obedient,-1.419192695478781,0.056142063872459305,False
football,mistaken,-1.3222427930273488,0.09821415114681589,False
football,healthy,0.7559193923797688,-0.16028911427140413,False
football,forceful,-1.0073569693744935,0.08473140829870258,False
football,deep,-0.5053819571979628,0.2089960963040828,False
football,wise,-1.9054450541462773,0.16091055208732746,False
football,practical,-1.4719034538579567,0.12050168963457815,False
football,daring,-1.0016590339259122,-0.1758796036483254,True
football,romantic,-0.201052434506901,-0.19437239720133662,True
football,sarcastic,0.03151189671702501,0.07789146035683056,True
football,decisive,-0.7614873573774702,0.09952587941529507,False
football,slender,0.5962839133795204,-0.21481620062013293,False
football,cheerful,-0.5565856974662736,-0.08993344765687132,True
football,quiet,-0.42988139607850545,0.009267050857339545,False
football,obvious,-0.8198491857486686,0.12253390444647023,False
football,towering,0.050159812897537355,-0.1357343929484867,False
football,confidential,-0.9889182558784025,-0.11384645863249651,True
football,trim,0.9925777845714502,-0.09306873751676563,False
football,crisp,-0.749792723262114,-0.07986766857603753,True
football,coarse,0.1998668378860858,0.017695488429852718,True
football,protective,-0.378353008600346,-0.07859685150564302,True
football,warm,-0.792243425055194,-0.08340324919273212,True
football,peaceful,-1.19601614616901,-0.12337936326375666,True
football,responsible,-0.7625281818422573,0.10270123743416512,False
football,brilliant,-1.0559972088450666,-0.02540573466639146,True
football,modern,-0.2744642995438175,-0.07897325206180215,True
football,irresponsible,-0.5070813171932657,0.014389864990895519,False
football,clumsy,0.2944069171781963,-0.0021592743002138083,False
football,kind,-1.0251570159533212,-0.05677550855262661,True
football,transparent,-1.5311756566771706,-0.06185533071370326,True
football,stylish,-0.13669998176993034,-0.27048392881169736,True
football,calculating,-1.1193150782673165,-0.04256904878586636,True
football,troublesome,-0.20157645912541966,-0.02697046686052291,True
football,admirable,-0.7645490540446009,-0.11130520966768104,True
football,sharing,-0.5864516886120932,0.0720950257775182,False
football,obsessive,-0.06214157472057622,0.11795150969912971,False
football,aspiring,0.007860505789641271,-0.061165915951936725,False
football,efficient,-1.1357874269315689,0.024591712892904675,False
football,logical,-1.174929066276699,0.16122584886582064,False
football,artificial,-0.3142261681457398,-0.11889549997283545,True
football,delicate,-0.881457310400758,-0.2883052510628258,True
football,authoritarian,-0.6824542552233301,0.16089233638005362,False
football,outspoken,-0.05868983984632657,-0.06208755445557004,True
football,maternal,-0.2496438886328071,-0.2039721502055449,True
football,reliable,-1.190744898080746,0.0872531751027703,False
football,optimistic,-0.06669845804522499,0.0003896436390502942,False
football,blunt,-0.3968703433955399,0.11078704940125944,False
football,pure,-1.577720008858852,-0.0336992998635806,True
football,extraordinary,-1.0122846082242927,-0.18327655281871033,True
football,objective,-1.263958041668477,0.18025928803152796,False
football,open,-0.5655795076480163,0.02198217191284852,False
football,physical,0.8691727539513099,0.10453800126758954,True
football,realistic,-0.6016621533449404,-0.044354117062381,True
football,stoic,-0.5200502794077382,0.03268409241066245,False
football,driving,1.2602014855035935,0.08335497970623645,True
football,fat,1.1890224555621811,-0.059477803696910615,False
football,anxious,-0.29042164273105414,-0.06014775865880685,True
football,naive,-0.5473817615646063,0.012949994520569382,False
football,creative,-1.058549208832486,-0.023173578891538323,True
football,gracious,-1.978728075530555,-0.08941210935660952,True
football,conservative,0.19898253417091746,0.1281700327097578,True
football,cute,0.23658834085742406,-0.1590585933762582,False
football,proud,-0.7662137519496998,-0.03869898948462438,True
football,discreet,-1.641912115704243,-0.17188927060935807,True
football,dry,-1.0842975476389742,-0.03899572704544534,True
football,charismatic,-0.7913981410094403,0.11047546783935375,False
football,secretive,-1.6152925578770432,0.06735054081815957,False
football,deceptive,-1.479300996213715,-0.03439361184145598,True
football,educated,-0.8101646539953756,-0.0099590951660209,True
football,solitary,-0.46639646541482893,-0.036562309924007795,True
football,spontaneous,-1.1286267458983212,0.032425877378746255,False
football,predictable,-1.1698338502927186,0.050092423660899325,False
football,simple,-0.9076166877511987,0.14074530742790067,False
football,humorous,-0.5904835098052001,0.1354968536425301,False
football,humble,-1.5104049984577979,0.14032553371832132,False
football,vague,-0.6433889207925836,0.09250124601942923,False
football,focused,0.28577015010870577,0.11889613176305747,True
football,tall,1.4239631460120918,-0.037924144679608085,False
football,loyal,-0.9371885987799119,0.06980948302315675,False
football,flamboyant,-0.10348218203620058,0.024069648113116373,False
football,impatient,-0.8181808727510803,0.029465838931329636,False
football,ruined,-0.745159572903219,-0.10814098259249867,True
football,colorful,-0.5875225703523956,-0.12142320822582259,True
football,abrasive,-0.19070787074612722,-0.01614223194039993,True
football,crude,-0.11905713425845836,0.17423235941633483,False
basketball,witty,-1.0018548842128199,-0.007376139231350981,True
basketball,compassionate,-1.8279137391481663,0.022598873538190106,False
basketball,rational,-1.347407668156677,0.1380962105148263,False
basketball,insulting,-0.7149748554389385,0.06147635331087754,False
basketball,moderate,-0.2757938969409269,0.08641903892888854,False
basketball,discouraging,0.4708544830114486,0.03184704428855669,True
basketball,smooth,-0.1860909043014334,-0.008686804161430332,True
basketball,gloomy,-1.2562088807687055,-0.04269423705574222,True
basketball,skeptical,-1.0652488613189868,0.03805291512400169,False
basketball,unrealistic,-0.5602763175150333,-0.12670288209704594,True
basketball,shrewd,-1.5328994423851434,0.09270828877188483,False
basketball,modest,-0.8689522393471759,-0.04101650929571943,True
basketball,energetic,-0.05948280013467635,-0.191224448805053,True
basketball,impractical,-0.871890164073685,-0.032569745020068576,True
basketball,cold,-0.9634545023356903,-0.07052162936576467,True
basketball,skillful,-1.232396012413638,-0.003383651471248479,True
basketball,criminal,-1.177638500621687,0.14879542806241153,False
basketball,dependent,-1.3015959649946998,-0.047234268133933555,True
basketball,systematic,-0.9399917506302287,0.03619982072259193,False
basketball,faithful,-2.383646011814714,0.025388940182909867,False
basketball,honorable,-1.6791056223781768,0.10037339028723234,False
basketball,elegant,-1.095191636234071,-0.278688724490256,True
basketball,misguided,-1.2459876582327543,0.11864904369898997,False
basketball,outrageous,-1.0425233840597634,-0.06222862408563525,True
basketball,steadfast,-2.6044358118096707,0.02337825862411097,False
basketball,benevolent,-1.8680809693576756,0.10000485260533995,False
basketball,constant,-0.4317343243551093,-0.03288392209423839,True
basketball,vulnerable,-1.3135816311055923,-0.07515651460426319,True
basketball,careless,-1.3231462483459606,0.06440861803156196,False
basketball,confident,-0.11971472169490466,-0.00327847716602353,True
basketball,enthusiastic,-0.5114935904906028,-0.00298647807073427,True
basketball,accessible,-0.6876549917890498,-0.06841945223206886,True
basketball,conscientious,-1.1913276309078595,0.028085361734151503,False
basketball,passionate,-0.9223737787827103,-0.06337728279956195,True
basketball,mystical,-1.70287740657262,0.03691154524313948,False
basketball,ripped,0.7443908410799195,0.10410842742991037,True
basketball,reflective,-1.4409072122191215,0.11784771394114515,False
basketball,miserable,-0.7093827424799058,-0.10578044810220273,True
basketball,odd,-0.9159183325651128,0.14425514505193548,False
basketball,eloquent,-2.147685620100562,0.0402960858417008,False
basketball,surprising,-1.1687441030341719,-0.03491525336611753,True
basketball,tough,-0.3275494968793633,0.0044062694609624375,False
basketball,progressive,-1.2746740089215434,0.06956809832716403,False
basketball,upright,-0.9679359220289085,0.046008316703540636,False
basketball,brittle,-0.9685427885054063,-0.15571585397690765,True
basketball,decent,-0.0537139472218308,0.006091019328371869,False
basketball,impressive,-0.43637780619755107,-0.041956146317050094,True
basketball,youthful,-0.3927586077373533,-0.09673366913846183,True
basketball,stiff,-0.41232571038352767,0.0627893287377984,False
basketball,intelligent,-0.12017530705295384,0.07378942333202626,False
basketball,unstable,-1.3801747132335866,-0.07504452667354593,True
basketball,competitive,1.1053614328308083,0.002540523547075981,True
basketball,arrogant,-0.828149706055209,0.15692287537562816,False
basketball,fearful,-1.7181874227371725,-0.06440692290390652,True
basketball,flexible,-0.7211390046548232,-0.06762037916844835,True
basketball,private,-0.6921303062469788,0.012843859880386346,False
basketball,dull,-1.5295304291766192,-0.056812317336215355,True
basketball,liberal,-0.8073187509963288,0.1628761538275861,False
basketball,disciplined,-0.9283046287376796,0.1400854699317191,False
basketball,ordinary,-0.37887396455930317,-0.02083481309237988,True
basketball,playful,-0.767081695673454,-0.11177209887481626,True
basketball,organized,-0.303811675331013,-0.22757670766801913,True
basketball,fair,-1.1905100505265043,0.03033482358060236,False
basketball,directed,-1.1441160589768575,0.1953336642054653,False
basketball,formal,-0.9448463924334078,-0.002194714806587161,True
basketball,destructive,-1.6516720617782028,0.07453766530585657,False
basketball,sensitive,-0.8116202445614267,0.007990511914348793,False
basketball,demanding,-1.350412990700287,-0.15624570940922672,True
basketball,courageous,-2.06414644083974,-0.098028559864116,True
basketball,stern,-1.5666815408192372,-0.028665087821003677,True
basketball,grim,-0.9301964556153711,0.07696137416496109,False
basketball,mellow,-0.2403726038017291,0.0253091920168977,False
basketball,dishonest,-1.6061894091390652,0.17398978870925252,False
basketball,petty,-0.9445756217630442,0.11223261381100048,False
basketball,complaining,-1.016385426786734,-0.023863970351223122,True
basketball,ambitious,-0.9727784763704916,-0.06123773528364206,True
basketball,determined,-0.6488816142815268,-0.09389591619525398,True
basketball,strong,-0.4396070186565713,-0.03861674777750596,True
basketball,understanding,-1.3481789369488888,0.0661212055159939,False
basketball,neutral,-0.9892862556144163,-0.08980694851718236,True
basketball,attractive,-0.28512987126228917,-0.23089375734907844,True
basketball,sober,-1.3144056305488296,0.04056281762403222,False
basketball,rigid,-1.219789161360332,0.10156460842016958,False
basketball,unpredictable,-1.3832645998192266,-0.010701689530454929,True
basketball,preoccupied,0.2435256046903975,-0.10645268167393275,False
basketball,skinny,1.5559544729902672,-0.07712803111368198,False
basketball,fit,1.3465898460493317,-0.08075155106605793,False
basketball,arbitrary,-0.9493202579636314,0.10653919532644135,False
basketball,erratic,-0.8577525490148399,0.05435454501549434,False
basketball,malicious,-2.160129088870593,0.034126545555442714,False
basketball,dynamic,-0.7317363577630649,-0.1349658873811886,True
basketball,invisible,-1.4339733279750173,0.009396009222842151,False
basketball,critical,-1.4643596092088937,0.12099452211630052,False
basketball,confused,-0.984810626829779,-0.005240839353483187,True
basketball,caring,-1.1141306938074647,-0.0608316919348053,True
basketball,challenging,-0.8101854661501755,0.06189634184923926,False
basketball,false,-2.479381163301931,0.021410350795921865,False
basketball,fraudulent,-1.9772200654972876,0.0531276006113012,False
basketball,conciliatory,-1.2497700500084448,0.031065301710141328,False
basketball,crazy,-0.3738279849846566,-0.12795352752669875,True
basketball,sloppy,-0.28125542969905853,0.04738761224250429,False
basketball,disruptive,-0.747918827072791,0.1058265475234064,False
basketball,busy,-0.14558647981600797,-0.1237671031220757,True
basketball,bland,-0.7259498164245092,-0.05965019022973041,True
basketball,frivolous,-1.3851384278437988,-0.15421280607849625,True
basketball,popular,0.4185346151346698,-0.060186109032162156,False
basketball,hurried,-1.0467612723324904,-0.11419206368125728,True
basketball,profound,-1.8208253527049432,0.09580245816857196,False
basketball,friendly,-0.5430666355316932,-0.06710805121480289,True
basketball,ignorant,-1.7090089442689493,0.06300716342413024,False
basketball,conventional,-0.14119941169535416,-0.02796312841494032,True
basketball,buff,0.8872113059246444,0.09148668435164867,True
basketball,balanced,-0.16890640766043166,0.01713677851865406,False
basketball,stupid,-0.6723557229284384,0.12487507356241315,False
basketball,desperate,-1.177986548950337,-0.03075455888917154,True
basketball,gallant,-1.4142344811800995,0.002106781636266879,False
basketball,cruel,-1.9192716009099584,0.034456395360348724,False
basketball,political,0.28915100171086733,0.08157045126530219,True
basketball,secure,-1.7174237891204835,0.08957225327387797,False
basketball,passive,-0.5902361095950048,0.10207075562707368,False
basketball,subtle,-1.7878076165094312,0.036047779439528846,False
basketball,greedy,-1.966441957895682,0.08429537426357427,False
basketball,sympathetic,-2.1621911005081316,-0.031216949133990774,True
basketball,sensual,-1.649659061261469,-0.2815005531836531,True
basketball,mechanical,-0.2881589976481473,0.17220847328900624,False
basketball,trendy,0.3136832152670521,-0.227293764274865,False
basketball,gentle,-1.986213929964141,-0.021729307059146614,True
basketball,stubborn,-0.8245719495288723,-0.010902793800584364,True
basketball,difficult,-1.2480874471278343,-0.06882584418006037,True
basketball,dramatic,-0.9214200380444895,-0.19405914488358,True
basketball,angry,-1.0322737591004996,0.067991746098479,False
basketball,weak,-1.1609560301567463,0.040999134603905606,False
basketball,patriotic,0.11109474029551587,0.01602535861370608,True
basketball,sporting,1.6923227261517941,-0.03599186293859803,False
basketball,clever,-1.7674654830597358,0.11473913074217468,False
basketball,quirky,-0.6718318480916419,-0.06331098234454127,True
basketball,calm,-0.9992547179495561,-0.10530377240286964,True
basketball,restrained,-1.7313050912392265,0.18951526217992382,False
basketball,honest,-1.5828577059011635,0.09984014531489027,False
basketball,genuine,-1.5981065051713783,0.05403011046562669,False
basketball,extravagant,-1.4564079973508923,-0.146773475691417,True
basketball,treacherous,-1.3986185608159225,-0.11699763302960484,True
basketball,athletic,2.7510981592132775,-0.0188897088437478,False
basketball,innovative,-1.273891556450307,-0.05353042123275746,True
basketball,responsive,-1.129960120340995,-0.020735455156443997,True
basketball,bizarre,-0.9413111027695746,-0.008691759800830272,True
basketball,frightening,-1.4257220905263874,-0.04188003423822021,True
basketball,sophisticated,-0.71849511456155,-0.19872810993171833,True
basketball,polished,-0.7506573296576975,-0.044121810453077205,True
basketball,glamorous,-0.889859804005637,-0.32448861785335775,True
basketball,exciting,-0.777162503210447,-0.12035444785773756,True
basketball,alert,-0.5691380375288587,-0.044244432211496765,True
basketball,winning,-0.95572774887039,0.09482286406826664,False
basketball,timid,-0.8385180180769326,-0.20351047222805554,True
basketball,tidy,-0.9779719956957382,-0.07521216690522457,True
basketball,religious,-1.0774958532306185,0.10771734220231244,False
basketball,dominating,0.18706709869311905,-0.11615585565060656,False
basketball,messy,-1.0044494940374338,-0.10949607341373647,True
basketball,mature,-0.1548007182455314,-0.07730426702175439,True
basketball,prim,-0.3171372585384926,-0.2618187385141555,True
basketball,lazy,-0.49862240146393855,0.0608926723691731,False
basketball,cerebral,-0.22005309898072858,0.045323764435201586,False
basketball,amusing,-1.101012634317446,0.05348070427860182,False
basketball,appreciative,-1.561188208429281,-0.017899140078800616,True
basketball,ridiculous,-0.3193550915735955,-0.09110961042607814,True
